Country Degree Closeness Betweenness
EGY 0.0 0.0 0.0
USA 0.047619047619047616 0.1558441558441558 0.0
FJI 0.0 0.0 0.0
PER 0.0 0.0 0.0
GBR 0.0 0.0 0.0
CAN 0.0 0.0 0.0
UKR 0.047619047619047616 0.1558441558441558 0.0
PAK 0.047619047619047616 0.1558441558441558 0.0
KOR 0.0 0.0 0.0
MYS 0.047619047619047616 0.1558441558441558 0.0
LBN 0.047619047619047616 0.1558441558441558 0.0
IRQ 0.0 0.0 0.0
AFG 0.0 0.0 0.0
CHN 0.0 0.0 0.0
DEU 0.0 0.0 0.0
AUS 0.2857142857142857 0.2857142857142857 0.07142857142857144
IRN 0.047619047619047616 0.1558441558441558 0.0
|CCK | 0.0 0.0 0.0
PHL 0.0 0.0 0.0
JPN 0.0 0.0 0.0
SYR 0.0 0.0 0.0
NRU 0.0 0.0 0.0
