Country Degree Closeness Betweenness
DZA 0.0 0.0 0.0
QAT 0.0125 0.26825396825396824 0.0
EGY 0.05 0.2816666666666667 0.03164556962025317
NGA 0.0125 0.26825396825396824 0.0
BEL 0.037500000000000006 0.22993197278911565 0.00015822784810126583
BTN 0.0125 0.18369565217391304 0.0
LUX 0.0 0.0 0.0
ISR 0.0625 0.2991150442477876 0.0005067058468957203
BRA 0.037500000000000006 0.2747967479674797 0.016139240506329113
SWE 0.0 0.0 0.0
UKR 0.07500000000000001 0.3100917431192661 0.03164556962025317
LKA 0.0125 0.19651162790697674 0.0
FLK 0.025 0.2704 0.0
MEX 0.0 0.0 0.0
GBR 0.3875 0.4506666666666667 0.27533566907775764
CAN 0.0 0.0 0.0
COG 0.0 0.0 0.0
ISL 0.0 0.0 0.0
KOR 0.0125 0.1797872340425532 0.0
COL 0.0 0.0 0.0
RUS 0.07500000000000001 0.3100917431192661 0.005163125376732967
GRC 0.0125 0.20484848484848484 0.0
JOR 0.0 0.0 0.0
PAK 0.037500000000000006 0.28888888888888886 0.0014293248945147683
USA 0.25 0.38409090909090915 0.11978714587100665
BIH 0.0 0.0 0.0
SYR 0.1 0.31296296296296294 0.02360043701024713
LBY 0.0 0.0 0.0
SGP 0.0 0.0 0.0
MYS 0.025 0.2725806451612903 0.0014293248945147683
MDA 0.025 0.21257861635220127 0.0
SOM 0.025 0.2747967479674797 0.0
PRK 0.025 0.24671532846715327 0.016139240506329113
PSE 0.05 0.2913793103448276 0.0
PRT 0.0125 0.26825396825396824 0.0
POL 0.0125 0.2431654676258993 0.0
KHM 0.0 0.0 0.0
GEO 0.025 0.21257861635220127 0.0
ROU 0.0125 0.2194805194805195 0.0
SAU 0.025 0.19882352941176473 0.0
NLD 0.0 0.0 0.0
FRA 0.1125 0.32815533980582523 0.03985458107293552
AFG 0.037500000000000006 0.28888888888888886 0.0
CHE 0.0 0.0 0.0
ESP 0.0 0.0 0.0
IRQ 0.08750000000000001 0.3045045045045045 0.004842525617842074
HRV 0.0125 0.1942528735632184 0.0
CHL 0.0 0.0 0.0
CHN 0.08750000000000001 0.31588785046728973 0.04091244725738396
DEU 0.05 0.2964912280701754 0.0319620253164557
AUS 0.037500000000000006 0.2793388429752066 0.016139240506329113
JAM 0.0 0.0 0.0
IRL 0.0 0.0 0.0
AUT 0.0125 0.20484848484848484 0.0
IRN 0.037500000000000006 0.28888888888888886 0.0
KAZ 0.0125 0.26825396825396824 0.0
VEN 0.0 0.0 0.0
THA 0.0 0.0 0.0
SDN 0.0125 0.2431654676258993 0.0
VAT 0.0625 0.29391304347826086 0.0002109704641350211
NZL 0.0125 0.2139240506329114 0.0
MCO 0.0125 0.2194805194805195 0.0
NPL 0.0125 0.26825396825396824 0.0
ITA 0.0625 0.2991150442477876 0.003066983122362869
JPN 0.037500000000000006 0.25413533834586466 0.016139240506329113
MHL 0.0 0.0 0.0
MDV 0.0 0.0 0.0
TUR 0.025 0.2725806451612903 0.0
PHL 0.0 0.0 0.0
ALB 0.0125 0.26825396825396824 0.0
HKG 0.025 0.2793388429752066 0.0
ZAF 0.0 0.0 0.0
ARE 0.025 0.19882352941176473 0.0
ARG 0.025 0.2704 0.0
IND 0.05 0.25223880597014925 0.0014240506329113924
BOL 0.0 0.0 0.0
BHS 0.0 0.0 0.0
LBN 0.0125 0.21257861635220127 0.0
VNM 0.0125 0.2139240506329114 0.0
UGA 0.0 0.0 0.0
KEN 0.0125 0.26825396825396824 0.0
