Country Degree Closeness Betweenness
DZA 0.0 0.0 0.0
AGO 0.0 0.0 0.0
EGY 0.0 0.0 0.0
BGD 0.0 0.0 0.0
BOL 0.0 0.0 0.0
PAK 0.02586206896551724 0.2206896551724138 0.001964017991004496
PAN 0.0 0.0 0.0
JOR 0.008620689655172414 0.1673476058179441 0.0
LBR 0.008620689655172414 0.21530698065601347 0.0
LBY 0.017241379310344827 0.1689490183138096 0.0
MYS 0.008620689655172414 0.18682722130997992 0.0
PRK 0.034482758620689655 0.2323049001814882 0.0007963875205254514
TZA 0.0 0.0 0.0
PRT 0.0 0.0 0.0
KHM 0.0 0.0 0.0
HKG 0.0 0.0 0.0
SAU 0.05172413793103448 0.2402064273985456 0.001297030056400371
LBN 0.034482758620689655 0.1801548205489092 0.0006835867780395515
CHE 0.0 0.0 0.0
MRT 0.0 0.0 0.0
HRV 0.0 0.0 0.0
CHN 0.05172413793103448 0.21530698065601347 0.004675292224017861
MAR 0.008620689655172414 0.008620689655172414 0.0
GIN 0.017241379310344827 0.13425986626458633 0.00944527736131934
VAT 0.02586206896551724 0.21931891197258513 0.002005247376311843
NPL 0.0 0.0 0.0
LAO 0.008620689655172414 0.21530698065601347 0.0
YEM 0.017241379310344827 0.2278086763070078 0.0
PHL 0.017241379310344827 0.2179650915283099 0.0
ZAF 0.008620689655172414 0.18682722130997992 0.0
NIC 0.0 0.0 0.0
SYR 0.06034482758620689 0.2402064273985456 0.009752899524263848
NGA 0.0 0.0 0.0
BEL 0.017241379310344827 0.16347381864623242 0.0
DEU 0.06896551724137931 0.2206896551724138 0.017961700967697967
LKA 0.017241379310344827 0.18984056358917317 0.0004047976011994003
GBR 0.12931034482758622 0.27803421124083627 0.05440283105200645
GUY 0.008620689655172414 0.18584392014519055 0.0
CRI 0.0 0.0 0.0
CMR 0.0 0.0 0.0
LSO 0.0 0.0 0.0
UGA 0.008620689655172414 0.21530698065601347 0.0
NLD 0.02586206896551724 0.19616858237547893 0.00337649357139612
TCD 0.0 0.0 0.0
GEO 0.0 0.0 0.0
MHL 0.008620689655172414 0.18682722130997992 0.0
BLZ 0.0 0.0 0.0
MMR 0.0 0.0 0.0
AFG 0.02586206896551724 0.23384334322904773 0.0
BLR 0.0 0.0 0.0
GRC 0.06034482758620689 0.21400208986415883 0.00821604349340481
MOZ 0.0 0.0 0.0
THA 0.0 0.0 0.0
HTI 0.0 0.0 0.0
PSE 0.02586206896551724 0.2278086763070078 0.00010494752623688154
IND 0.04310344827586207 0.22634836427939875 0.012232633683158424
SSD 0.017241379310344827 0.21662788237782948 0.0
FJI 0.008620689655172414 0.18584392014519055 0.0
HND 0.0 0.0 0.0
AZE 0.0 0.0 0.0
ISR 0.06896551724137931 0.2504279775006114 0.009309668758694246
PER 0.0 0.0 0.0
IDN 0.05172413793103448 0.24692548830479866 0.047991004497751115
COG 0.0 0.0 0.0
ISL 0.0 0.0 0.0
ETH 0.008620689655172414 0.18584392014519055 0.0
NER 0.008620689655172414 0.1848709153276765 0.0
COL 0.0 0.0 0.0
MDG 0.0 0.0 0.0
SEN 0.0 0.0 0.0
ESH 0.008620689655172414 0.008620689655172414 0.0
SRB 0.0 0.0 0.0
FRA 0.09482758620689655 0.27586206896551724 0.033262789600870576
LTU 0.008620689655172414 0.17480368726527826 0.0
GMB 0.008620689655172414 0.21530698065601347 0.0
GTM 0.0 0.0 0.0
DNK 0.0 0.0 0.0
ZWE 0.0 0.0 0.0
AUS 0.11206896551724138 0.28024083196496985 0.05567965476136393
AUT 0.0 0.0 0.0
VEN 0.017241379310344827 0.19086672879776329 0.00019216582185097925
KEN 0.0 0.0 0.0
TUR 0.06896551724137931 0.23384334322904773 0.014883429497372527
OMN 0.008620689655172414 0.18682722130997992 0.0
ITA 0.02586206896551724 0.17567335735117515 0.0005434782608695651
TUN 0.0 0.0 0.0
RUS 0.08620689655172414 0.25403125775241875 0.027556000138458915
MEX 0.008620689655172414 0.21530698065601347 0.0
BRA 0.017241379310344827 0.17567335735117515 0.0
USA 0.28448275862068967 0.3496073745305565 0.1800436956846252
SWE 0.0 0.0 0.0
UKR 0.017241379310344827 0.2278086763070078 0.0
GNB 0.008620689655172414 0.10831394118891474 0.0
TON 0.0 0.0 0.0
CAN 0.05172413793103448 0.2402064273985456 0.002206337307536707
KOR 0.008620689655172414 0.21530698065601347 0.0
ERI 0.008620689655172414 0.15834235348693365 0.0
SGP 0.008620689655172414 0.16123445126751693 0.0
TWN 0.008620689655172414 0.18584392014519055 0.0
SOM 0.0 0.0 0.0
UZB 0.0 0.0 0.0
CAF 0.0 0.0 0.0
POL 0.02586206896551724 0.23540229885057473 0.0003748125937031484
MWI 0.0 0.0 0.0
ESP 0.02586206896551724 0.1940128836680561 0.0010489993098688744
IRQ 0.04310344827586207 0.23698218005091412 0.0014200637776349918
IRL 0.0 0.0 0.0
IRN 0.04310344827586207 0.2323049001814882 0.0022022322172247184
SLE 0.0 0.0 0.0
NZL 0.008620689655172414 0.17140944091061264 0.0
JPN 0.04310344827586207 0.23858341099720412 0.01185853501820518
ARG 0.008620689655172414 0.21530698065601347 0.0
SDN 0.017241379310344827 0.21662788237782948 0.0
BHR 0.02586206896551724 0.2323049001814882 0.0
ARM 0.008620689655172414 0.17480368726527826 0.0
PNG 0.017241379310344827 0.17480368726527826 0.018590704647676162
CUB 0.017241379310344827 0.2278086763070078 0.0
