Country Degree Closeness Betweenness
EGY 0.016129032258064516 0.1322351864561885 0.0
BGD 0.0 0.0 0.0
NGA 0.0 0.0 0.0
BEL 0.03225806451612903 0.1792803970223325 0.0
ISR 0.04838709677419355 0.18279569892473116 0.017451084082496033
SWE 0.0 0.0 0.0
DEU 0.06451612903225806 0.17264038231780165 0.028468182619425342
IDN 0.016129032258064516 0.02150537634408602 0.0
VUT 0.0 0.0 0.0
CUB 0.0 0.0 0.0
GBR 0.08064516129032258 0.2273800157356412 0.05482108231976026
CAN 0.03225806451612903 0.1758977480219111 0.017451084082496033
FLK 0.016129032258064516 0.16213183730715286 0.0
ISL 0.0 0.0 0.0
PAK 0.03225806451612903 0.1218637992831541 0.0
NER 0.016129032258064516 0.016129032258064516 0.0
LBR 0.0 0.0 0.0
USA 0.14516129032258063 0.24860215053763438 0.12184910981843819
BIH 0.0 0.0 0.0
LBY 0.08064516129032258 0.1758977480219111 0.03538692050061695
SGP 0.0 0.0 0.0
MYS 0.016129032258064516 0.02150537634408602 0.0
SOM 0.0 0.0 0.0
PRK 0.016129032258064516 0.13413785100951497 0.0
NLD 0.0 0.0 0.0
TCD 0.016129032258064516 0.016129032258064516 0.0
SAU 0.04838709677419355 0.15409224206878164 0.008461131676361713
SRB 0.0 0.0 0.0
FRA 0.03225806451612903 0.15036420395421435 0.002467830072272166
EST 0.016129032258064516 0.16797442603894214 0.0
CHE 0.016129032258064516 0.14566532258064516 0.0
ESP 0.04838709677419355 0.19025674786043448 0.017054468535166577
IRQ 0.06451612903225806 0.21680420105026255 0.03666490393090076
MMR 0.0 0.0 0.0
AFG 0.0 0.0 0.0
CHL 0.0 0.0 0.0
CHN 0.016129032258064516 0.16797442603894214 0.0
UKR 0.04838709677419355 0.21431219873934002 0.023047770139256126
AUS 0.03225806451612903 0.03225806451612903 0.0005288207297726071
CYP 0.0 0.0 0.0
AUT 0.06451612903225806 0.1962648556876061 0.05178036312356778
IRN 0.0967741935483871 0.20489188231123714 0.05433632998413537
SLE 0.0 0.0 0.0
VAT 0.04838709677419355 0.19835277968428278 0.024854574299312537
MLI 0.0 0.0 0.0
MAR 0.016129032258064516 0.13413785100951497 0.0
YEM 0.04838709677419355 0.15409224206878164 0.008461131676361713
DNK 0.016129032258064516 0.16797442603894214 0.0
ZAF 0.0 0.0 0.0
TUR 0.0 0.0 0.0
ITA 0.0967741935483871 0.18645161290322582 0.04887184910981844
OMN 0.016129032258064516 0.17264038231780165 0.0
PSE 0.016129032258064516 0.1381123058542413 0.0
SYR 0.06451612903225806 0.20489188231123714 0.03208179093953816
NOR 0.0 0.0 0.0
TUN 0.03225806451612903 0.15036420395421435 0.0
ARG 0.03225806451612903 0.16950146627565982 0.00960690992420236
IND 0.0 0.0 0.0
RUS 0.11290322580645161 0.23904052936311 0.09699453551912568
CZE 0.03225806451612903 0.15800984144341168 0.0
MEX 0.0 0.0 0.0
BRA 0.016129032258064516 0.14018918263400434 0.0
GRC 0.04838709677419355 0.17105652559928972 0.014278159703860392
