Country Degree Closeness Betweenness
QAT 0.0 0.0 0.0
EGY 0.03125 0.20680147058823528 0.0
NGA 0.3125 0.3515625 0.19153225806451613
USA 0.09375 0.234375 0.05241935483870967
ISR 0.0625 0.21306818181818182 0.0
SWE 0.0625 0.17149390243902438 0.0
DEU 0.0 0.0 0.0
IDN 0.03125 0.20680147058823528 0.0
GBR 0.0625 0.16351744186046513 0.0
GHA 0.0 0.0 0.0
COG 0.03125 0.03125 0.0
ETH 0.0 0.0 0.0
PSE 0.0625 0.21306818181818182 0.0
NER 0.03125 0.20680147058823528 0.0
CMR 0.0 0.0 0.0
JOR 0.0 0.0 0.0
CYP 0.0625 0.17149390243902438 0.0
PRT 0.0 0.0 0.0
SEN 0.0 0.0 0.0
TCD 0.0 0.0 0.0
LBN 0.0 0.0 0.0
BFA 0.03125 0.03125 0.0
CHE 0.03125 0.20680147058823528 0.0
ESP 0.0 0.0 0.0
CHN 0.03125 0.20680147058823528 0.0
AUS 0.0625 0.16351744186046513 0.0
LBR 0.0 0.0 0.0
CUB 0.0 0.0 0.0
YEM 0.03125 0.1674107142857143 0.0
ITA 0.03125 0.20680147058823528 0.0
ARE 0.0 0.0 0.0
IND 0.0 0.0 0.0
FRA 0.125 0.2511160714285714 0.07661290322580645
