Country Degree Closeness Betweenness
QAT 0.0 0.0 0.0
FJI 0.0 0.0 0.0
NGA 0.0 0.0 0.0
USA 0.1 0.10416666666666667 0.010256410256410256
ISR 0.025 0.03333333333333333 0.0
UKR 0.025 0.05 0.0
IDN 0.0 0.0 0.0
EGY 0.025 0.03333333333333333 0.0
MEX 0.0 0.0 0.0
GBR 0.0 0.0 0.0
GHA 0.0 0.0 0.0
PAK 0.025 0.025 0.0
LBR 0.0 0.0 0.0
LBY 0.0 0.0 0.0
LSO 0.025 0.025 0.0
MYS 0.025 0.044444444444444446 0.0
SOM 0.025 0.0625 0.0
FRA 0.05 0.06944444444444445 0.0
KEN 0.0 0.0 0.0
ZMB 0.0 0.0 0.0
IRQ 0.05 0.06944444444444445 0.0
MMR 0.0 0.0 0.0
MLI 0.0 0.0 0.0
CHL 0.0 0.0 0.0
CHN 0.05 0.06666666666666667 0.0038461538461538464
AUS 0.025 0.05 0.0
CYP 0.0 0.0 0.0
IRN 0.025 0.03333333333333333 0.0
RUS 0.07500000000000001 0.08000000000000002 0.00641025641025641
SLE 0.0 0.0 0.0
VAT 0.0 0.0 0.0
RWA 0.0 0.0 0.0
JPN 0.0 0.0 0.0
ZAF 0.025 0.025 0.0
TUR 0.025 0.052083333333333336 0.0
PSE 0.05 0.05 0.001282051282051282
SYR 0.05 0.078125 0.005128205128205128
IND 0.025 0.025 0.0
SSD 0.025 0.03333333333333333 0.0
SDN 0.05 0.05 0.001282051282051282
UGA 0.0 0.0 0.0
