Country Degree Closeness Betweenness
DZA 0.0 0.0 0.0
BGD 0.0 0.0 0.0
NGA 0.0 0.0 0.0
USA 0.13725490196078433 0.1985294117647059 0.07098039215686275
ISR 0.0 0.0 0.0
BOL 0.11764705882352941 0.1985294117647059 0.05058823529411764
SWE 0.0196078431372549 0.10246679316888047 0.0
UKR 0.0196078431372549 0.10246679316888047 0.0
PER 0.0196078431372549 0.0196078431372549 0.0
LKA 0.0 0.0 0.0
GBR 0.0196078431372549 0.10246679316888047 0.0
CAN 0.0 0.0 0.0
COG 0.0 0.0 0.0
KOR 0.0 0.0 0.0
FRA 0.0 0.0 0.0
COL 0.0784313725490196 0.15126050420168066 0.02588235294117647
PAN 0.0196078431372549 0.10767696909272186 0.0
LBR 0.0 0.0 0.0
LBY 0.0 0.0 0.0
HUN 0.0 0.0 0.0
PRK 0.0 0.0 0.0
PSE 0.058823529411764705 0.14117647058823532 0.02588235294117647
ECU 0.0196078431372549 0.10767696909272186 0.0
HKG 0.0196078431372549 0.12965186074429774 0.0
BFA 0.0 0.0 0.0
ESP 0.0 0.0 0.0
ZMB 0.0 0.0 0.0
IRQ 0.0196078431372549 0.029411764705882353 0.0
SLV 0.0 0.0 0.0
CHL 0.0196078431372549 0.0196078431372549 0.0
GTM 0.0 0.0 0.0
CHN 0.0 0.0 0.0
DEU 0.0 0.0 0.0
CUB 0.0196078431372549 0.12965186074429774 0.0
IRN 0.0196078431372549 0.029411764705882353 0.0
VEN 0.0 0.0 0.0
GIN 0.0196078431372549 0.12456747404844293 0.0
URY 0.0392156862745098 0.044117647058823525 0.001568627450980392
VAT 0.0196078431372549 0.12965186074429774 0.0
SYC 0.0196078431372549 0.12456747404844293 0.0
NPL 0.0 0.0 0.0
PHL 0.0 0.0 0.0
TUR 0.0 0.0 0.0
HTI 0.0 0.0 0.0
ITA 0.0 0.0 0.0
SYR 0.0392156862745098 0.044117647058823525 0.001568627450980392
BRA 0.09803921568627451 0.18685121107266436 0.03490196078431372
ARG 0.0392156862745098 0.14117647058823532 0.005490196078431373
IND 0.0196078431372549 0.12965186074429774 0.0
RUS 0.058823529411764705 0.14117647058823532 0.015294117647058823
MEX 0.0196078431372549 0.12965186074429774 0.0
NOR 0.0 0.0 0.0
