Country Degree Closeness Betweenness
DZA 0.02666666666666667 0.21428571428571427 0.015855855855855857
EGY 0.04 0.25961538461538464 0.0
HND 0.04 0.26732673267326734 0.001093093093093093
USA 0.33333333333333337 0.39705882352941174 0.17557269457269456
ISR 0.10666666666666667 0.28125 0.023185922185922175
BOL 0.04 0.27 0.000750750750750751
TWN 0.0 0.0 0.0
DEU 0.12000000000000001 0.28125 0.011796133796133795
PER 0.013333333333333334 0.2109375 0.0
IDN 0.0 0.0 0.0
BRA 0.05333333333333334 0.23684210526315788 0.00515988715988716
GBR 0.08 0.24324324324324326 0.0005045045045045045
CAN 0.0 0.0 0.0
PAK 0.0 0.0 0.0
NER 0.0 0.0 0.0
COL 0.08 0.22689075630252098 0.03263663663663664
PAN 0.013333333333333334 0.16564417177914112 0.0
NGA 0.02666666666666667 0.19999999999999998 0.0
JOR 0.013333333333333334 0.1888111888111888 0.0
LBR 0.013333333333333334 0.24107142857142858 0.0
BEL 0.013333333333333334 0.16564417177914112 0.0
LBY 0.06666666666666667 0.2647058823529412 0.0025345345345345353
MEX 0.04 0.25 0.015855855855855857
HUN 0.0 0.0 0.0
SOM 0.0 0.0 0.0
ECU 0.02666666666666667 0.25471698113207547 0.0041856251856251855
PRK 0.04 0.25 0.01857876057876058
CMR 0.0 0.0 0.0
POL 0.0 0.0 0.0
NLD 0.04 0.22314049586776857 0.0008008008008008008
IRQ 0.08 0.2872340425531915 0.01295468195468196
PRY 0.0 0.0 0.0
HKG 0.0 0.0 0.0
SAU 0.0 0.0 0.0
KHM 0.0 0.0 0.0
SRB 0.013333333333333334 0.013333333333333334 0.0
BFA 0.013333333333333334 0.1588235294117647 0.0
AUT 0.013333333333333334 0.013333333333333334 0.0
ESP 0.05333333333333334 0.27835051546391754 0.019619421619421623
SWE 0.0 0.0 0.0
SLV 0.02666666666666667 0.20610687022900764 0.00012012012012012012
AFG 0.0 0.0 0.0
CHL 0.16 0.3214285714285714 0.08387319687319689
GTM 0.013333333333333334 0.1776315789473684 0.0
CHN 0.06666666666666667 0.26732673267326734 0.004627094627094627
UKR 0.18666666666666668 0.3 0.03426351626351627
AUS 0.02666666666666667 0.21259842519685038 0.0
GRC 0.0 0.0 0.0
IRN 0.02666666666666667 0.24770642201834864 0.0
VEN 0.04 0.25471698113207547 0.003143143143143143
SLE 0.0 0.0 0.0
URY 0.013333333333333334 0.2109375 0.0
VAT 0.09333333333333334 0.2872340425531915 0.011017003017003016
SYC 0.02666666666666667 0.21428571428571427 0.00030030030030030034
KEN 0.0 0.0 0.0
MAR 0.0 0.0 0.0
BDI 0.0 0.0 0.0
PHL 0.0 0.0 0.0
ZAF 0.0 0.0 0.0
NIC 0.0 0.0 0.0
TUR 0.013333333333333334 0.20930232558139536 0.0
JPN 0.02666666666666667 0.21774193548387097 0.001981981981981982
THA 0.0 0.0 0.0
HTI 0.0 0.0 0.0
ITA 0.0 0.0 0.0
SYR 0.08 0.2727272727272727 0.02194594594594594
NOR 0.0 0.0 0.0
CUB 0.08 0.2727272727272727 0.01246934846934847
ARG 0.04 0.216 0.0004864864864864865
IND 0.013333333333333334 0.24107142857142858 0.0
RUS 0.09333333333333334 0.27835051546391754 0.0037822217822217827
PSE 0.16 0.3176470588235294 0.034670773670773675
KOR 0.013333333333333334 0.1776315789473684 0.0
MYS 0.12000000000000001 0.2903225806451613 0.01687534987534987
UGA 0.0 0.0 0.0
FRA 0.10666666666666667 0.2755102040816326 0.0016106106106106102
