Country Degree Closeness Betweenness
DZA 0.0 0.0 0.0
EGY 0.0 0.0 0.0
HND 0.0 0.0 0.0
USA 0.08695652173913043 0.11441647597254004 0.013526570048309178
DOM 0.0 0.0 0.0
ISR 0.021739130434782608 0.021739130434782608 0.0
TWN 0.0 0.0 0.0
DEU 0.043478260869565216 0.08361204013377926 0.0
GBR 0.0 0.0 0.0
GHA 0.0 0.0 0.0
PAK 0.0 0.0 0.0
COL 0.0 0.0 0.0
NGA 0.0 0.0 0.0
LBY 0.0 0.0 0.0
MEX 0.021739130434782608 0.07763975155279502 0.0
ECU 0.0 0.0 0.0
KWT 0.021739130434782608 0.06793478260869565 0.0
HKG 0.0 0.0 0.0
SAU 0.021739130434782608 0.021739130434782608 0.0
FRA 0.08695652173913043 0.11441647597254004 0.010628019323671497
ESP 0.021739130434782608 0.07246376811594202 0.0
IRQ 0.0 0.0 0.0
CHL 0.021739130434782608 0.021739130434782608 0.0
GTM 0.0 0.0 0.0
CHN 0.021739130434782608 0.03913043478260869 0.0
UKR 0.021739130434782608 0.03913043478260869 0.0
CUB 0.06521739130434782 0.12077294685990338 0.02318840579710145
IRN 0.0 0.0 0.0
VEN 0.08695652173913043 0.10351966873706003 0.02318840579710145
VAT 0.021739130434782608 0.021739130434782608 0.0
SYC 0.0 0.0 0.0
ITA 0.0 0.0 0.0
YEM 0.021739130434782608 0.021739130434782608 0.0
JPN 0.0 0.0 0.0
ZAF 0.021739130434782608 0.021739130434782608 0.0
TUR 0.021739130434782608 0.03913043478260869 0.0
HTI 0.0 0.0 0.0
PSE 0.021739130434782608 0.021739130434782608 0.0
SYR 0.0 0.0 0.0
BRA 0.021739130434782608 0.07246376811594202 0.0
TUN 0.08695652173913043 0.0945179584120983 0.00966183574879227
ARG 0.021739130434782608 0.07246376811594202 0.0
RUS 0.06521739130434782 0.06521739130434782 0.002898550724637681
SDN 0.021739130434782608 0.021739130434782608 0.0
ARM 0.0 0.0 0.0
NOR 0.0 0.0 0.0
GRC 0.0 0.0 0.0
