Country Degree Closeness Betweenness
DZA 0.04878048780487805 0.1288109756097561 0.014634146341463414
NGA 0.0 0.0 0.0
BEL 0.17073170731707318 0.19628339140534262 0.0475609756097561
ISR 0.04878048780487805 0.1288109756097561 0.014634146341463414
SWE 0.0 0.0 0.0
UKR 0.024390243902439025 0.03252032520325203 0.0
GBR 0.04878048780487805 0.13296616837136113 0.0016260162601626018
CAN 0.0 0.0 0.0
GIN 0.0 0.0 0.0
ETH 0.0 0.0 0.0
PSE 0.024390243902439025 0.09368070953436808 0.0
COL 0.0 0.0 0.0
JOR 0.024390243902439025 0.12490761271249076 0.0
LBR 0.0 0.0 0.0
USA 0.07317073170731708 0.13296616837136113 0.0024390243902439024
PRK 0.0 0.0 0.0
NLD 0.0 0.0 0.0
ROU 0.0 0.0 0.0
LBN 0.0 0.0 0.0
FRA 0.12195121951219512 0.18736141906873616 0.03902439024390244
MLI 0.024390243902439025 0.09368070953436808 0.0
ESP 0.0 0.0 0.0
IRQ 0.0975609756097561 0.17174796747967477 0.004065040650406504
AFG 0.0 0.0 0.0
CHN 0.0 0.0 0.0
DEU 0.024390243902439025 0.1212338593974175 0.0
AUS 0.0 0.0 0.0
GRC 0.024390243902439025 0.12490761271249076 0.0
SLE 0.0 0.0 0.0
VAT 0.0 0.0 0.0
DNK 0.0 0.0 0.0
CUB 0.0 0.0 0.0
PHL 0.0 0.0 0.0
ZAF 0.0 0.0 0.0
JPN 0.0 0.0 0.0
ITA 0.024390243902439025 0.03252032520325203 0.0
SYR 0.12195121951219512 0.18736141906873616 0.030894308943089435
TUN 0.0 0.0 0.0
IND 0.024390243902439025 0.12490761271249076 0.0
RUS 0.04878048780487805 0.04878048780487805 0.0012195121951219512
MEX 0.0 0.0 0.0
CZE 0.0 0.0 0.0
