Id,Label,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID
SAU,SAU,69.0,4.0,2.059171597633136,58.847332644983794,0.012987013,0.012987013,0,0.01268336225709586,0
UKR,UKR,1557.0,4.0,1.8461538461538463,388.45996794972336,0.021103896,0.021103896,2,0.020293899429229146,0
GBR,GBR,524.0,4.0,1.5976331360946745,1421.9889324218855,0.039502166,0.039502166,1,0.037511448558204374,0
DEU,DEU,264.0,3.0,1.7928994082840237,449.93696235069905,0.023268398,0.023268398,1,0.02206000797465206,0
ZAF,ZAF,28.0,4.0,2.165680473372781,182.5233414832402,0.007034632,0.007034632,1,0.007207095373772765,0
CHN,CHN,657.0,4.0,1.6331360946745561,1593.5399420498288,0.034632035,0.034632035,3,0.033079632003842285,0
RUS,RUS,1655.0,4.0,1.7692307692307692,1067.2822014042563,0.025974026,0.025974026,2,0.02477508768658267,0
USA,USA,1877.0,3.0,1.4023668639053255,3755.9289790298385,0.0508658,0.0508658,3,0.04975621485281,0
MYS,MYS,182.0,4.0,2.0118343195266273,222.80951084643277,0.013528138,0.013528138,3,0.013270121291230348,0
SYR,SYR,495.0,3.0,1.8224852071005917,398.00644971812005,0.022727273,0.022727273,4,0.021219325262645212,0
YEM,YEM,25.0,4.0,2.195266272189349,4.092774615565313,0.0054112556,0.0054112556,1,0.005593888397764107,0
NGA,NGA,70.0,4.0,1.8994082840236686,564.5196022247254,0.017316017,0.017316017,3,0.01674564282621468,0
EGY,EGY,119.0,4.0,1.9289940828402368,143.366091277935,0.017857144,0.017857144,1,0.016689977923653704,0
TUN,TUN,25.0,4.0,2.201183431952663,1.573704481792717,0.0054112556,0.0054112556,1,0.005575044364206188,0
ISL,ISL,4.0,5.0,2.396449704142012,0.10173160173160173,0.0,0.0,0,0.0,0
PAK,PAK,52.0,4.0,2.1124260355029585,31.990832112231946,0.007034632,0.007034632,3,0.006848800608617637,0
BRA,BRA,40.0,4.0,2.0236686390532546,218.61495715215077,0.010281385,0.010281385,3,0.010346534402446213,0
SLE,SLE,1.0,5.0,3.42603550295858,0.0,0.0,0.0,0,0.0,0
AUS,AUS,212.0,4.0,1.8047337278106508,765.5539702255802,0.023809524,0.023809524,3,0.022487735465044456,0
FRA,FRA,458.0,3.0,1.6627218934911243,1655.6751800698169,0.030844156,0.030844156,1,0.029555876606677432,0
CMR,CMR,6.0,3.0,2.242603550295858,1.3370140970140971,0.0032467532,0.0032467532,1,0.003796805987953491,0
VAT,VAT,128.0,3.0,1.9467455621301775,297.3258875765261,0.01569264,0.01569264,3,0.015126484643169692,0
NOR,NOR,14.0,4.0,2.165680473372781,30.254227047094943,0.0064935065,0.0064935065,1,0.006822337652299952,0
JPN,JPN,186.0,4.0,1.9467455621301775,188.57268657223426,0.014069264,0.014069264,3,0.013331619357611088,0
ITA,ITA,106.0,4.0,1.9467455621301775,76.57558488614211,0.016774891,0.016774891,3,0.01560059428579959,0
IRL,IRL,23.0,4.0,2.1420118343195265,3.9948261189640495,0.005952381,0.005952381,3,0.006036882842150987,0
ISR,ISR,330.0,4.0,1.9467455621301775,76.1671030191122,0.016774891,0.016774891,4,0.015585776497530698,0
THA,THA,31.0,4.0,2.106508875739645,10.91388114092585,0.008116883,0.008116883,3,0.007965800341125769,0
LBY,LBY,83.0,3.0,2.136094674556213,35.63276548589775,0.009199134,0.009199134,1,0.00948530766274846,0
HUN,HUN,15.0,4.0,2.242603550295858,0.0,0.0032467532,0.0032467532,1,0.0036622477020136486,0
KHM,KHM,17.0,4.0,2.2781065088757395,13.335594374844392,0.0048701297,0.0048701297,3,0.0052680947416107165,0
CHL,CHL,44.0,4.0,2.0236686390532546,197.8202089795928,0.011904762,0.011904762,3,0.011970682426687335,0
IND,IND,229.0,3.0,1.8520710059171597,375.33597313406494,0.020021645,0.020021645,3,0.019201702557979608,0
IDN,IDN,57.0,4.0,2.088757396449704,242.60407657004828,0.007575758,0.007575758,3,0.007612749738673817,0
UGA,UGA,53.0,4.0,2.059171597633136,146.8598473114459,0.009199134,0.009199134,3,0.009125806277103308,0
MDV,MDV,13.0,4.0,2.165680473372781,4.080054047602809,0.0054112556,0.0054112556,1,0.005661069160020826,0
SOM,SOM,26.0,4.0,2.171597633136095,6.6001080723286325,0.007034632,0.007034632,3,0.00700213002215665,0
TUR,TUR,87.0,4.0,1.982248520710059,197.4682066543395,0.012445888,0.012445888,4,0.011702553395608486,0
CAF,CAF,47.0,3.0,2.136094674556213,367.3961466729573,0.007575758,0.007575758,1,0.00786718520637227,0
IRN,IRN,270.0,4.0,1.9289940828402368,272.4149166701525,0.017857144,0.017857144,4,0.016744949474491407,0
AFG,AFG,113.0,4.0,2.06508875739645,200.67490589923003,0.010822511,0.010822511,3,0.010632619042683564,0
PHL,PHL,43.0,4.0,2.1183431952662723,6.760680464037239,0.007034632,0.007034632,3,0.007050597312977722,0
MLI,MLI,18.0,4.0,2.4615384615384617,102.37030423738537,0.0043290043,0.0043290043,1,0.005110356713334738,0
PRT,PRT,9.0,5.0,2.378698224852071,4.568520420042786,0.0048701297,0.0048701297,1,0.005234990414237873,0
BGD,BGD,10.0,4.0,2.260355029585799,1.5690476190476192,0.0043290043,0.0043290043,3,0.004695762376965844,0
BFA,BFA,1.0,5.0,4.0828402366863905,0.0,0.0,0.0,0,0.0,0
TCD,TCD,8.0,4.0,3.088757396449704,168.72619047619048,0.0,0.0,0,0.0,0
PRK,PRK,89.0,4.0,2.1775147928994083,9.9879089562077,0.005952381,0.005952381,3,0.006193530662263911,0
CHE,CHE,156.0,4.0,1.9408284023668638,486.30447062657237,0.014069264,0.014069264,4,0.013424731915630535,0
SDN,SDN,205.0,3.0,2.0828402366863905,67.44579324649473,0.008658009,0.008658009,5,0.008856580084281971,0
SSD,SSD,191.0,4.0,2.171597633136095,21.812398632528517,0.0064935065,0.0064935065,5,0.006893038732393676,0
ETH,ETH,47.0,4.0,2.1420118343195265,13.228270915305922,0.007034632,0.007034632,5,0.00712968187108666,0
BEL,BEL,83.0,3.0,2.0059171597633134,171.265454590652,0.012987013,0.012987013,3,0.012718341406873128,0
ESP,ESP,63.0,4.0,1.970414201183432,114.93535265128011,0.015151516,0.015151516,1,0.014484955094111945,0
GRC,GRC,28.0,4.0,2.136094674556213,186.6697664398154,0.007034632,0.007034632,4,0.007051888134881716,0
VEN,VEN,67.0,4.0,2.171597633136095,66.46413878894333,0.010281385,0.010281385,3,0.010342069598884748,0
URY,URY,13.0,4.0,2.331360946745562,0.2907066052227343,0.0043290043,0.0043290043,3,0.004849996729744551,0
PSE,PSE,232.0,4.0,2.1301775147928996,15.277996785162955,0.008658009,0.008658009,4,0.008448609187859208,0
VIR,VIR,6.0,5.0,2.473372781065089,0.0,0.0,0.0,0,0.0,0
DNK,DNK,22.0,4.0,2.201183431952663,3.342921865715983,0.0048701297,0.0048701297,3,0.005173462895574986,0
LBN,LBN,76.0,4.0,2.1597633136094676,6.981976604270411,0.007034632,0.007034632,4,0.006968012810687922,0
SLV,SLV,17.0,5.0,2.7928994082840237,71.58673850229574,0.0032467532,0.0032467532,3,0.0043055858769858,0
COG,COG,13.0,3.0,2.2189349112426036,52.611735104923746,0.0043290043,0.0043290043,1,0.004794621478443857,0
MEX,MEX,62.0,4.0,2.1124260355029585,211.92815944729327,0.009199134,0.009199134,3,0.009448953962026265,0
CUB,CUB,47.0,4.0,2.106508875739645,45.574184358920625,0.009199134,0.009199134,3,0.009193206965776397,0
CAN,CAN,119.0,3.0,1.863905325443787,189.0227917879772,0.018939395,0.018939395,3,0.01789796209039008,0
VNM,VNM,14.0,4.0,2.2189349112426036,28.7770678457111,0.0027056278,0.0027056278,3,0.0032357392397067,0
GIN,GIN,17.0,4.0,2.4319526627218937,430.1355327559235,0.0032467532,0.0032467532,3,0.003967165368300729,0
NLD,NLD,45.0,4.0,2.029585798816568,58.69198545771329,0.0097402595,0.0097402595,3,0.009379248923924863,0
IRQ,IRQ,58.0,4.0,2.165680473372781,18.16997157793547,0.0064935065,0.0064935065,4,0.006579957987249461,0
NER,NER,11.0,3.0,2.260355029585799,115.74033929180017,0.0027056278,0.0027056278,1,0.003276666910684884,0
KOR,KOR,74.0,4.0,2.088757396449704,19.785387167032425,0.008116883,0.008116883,3,0.008069395604838915,0
KEN,KEN,27.0,4.0,2.224852071005917,76.39394185180326,0.0054112556,0.0054112556,3,0.005722508345929786,0
RWA,RWA,37.0,3.0,2.136094674556213,99.4612819872851,0.0064935065,0.0064935065,1,0.006714612915408781,0
PAN,PAN,15.0,4.0,2.3136094674556213,5.563590570169517,0.0043290043,0.0043290043,3,0.0051410876842176165,0
BEN,BEN,4.0,4.0,2.8165680473372783,0.8608236208236207,0.0,0.0,0,0.0,0
GEO,GEO,12.0,4.0,2.230769230769231,0.0,0.0,0.0,0,0.0,0
CZE,CZE,33.0,4.0,2.230769230769231,4.6596464482192905,0.0043290043,0.0043290043,4,0.0046969635003635355,0
POL,POL,61.0,4.0,2.0414201183431953,241.52141538589902,0.010281385,0.010281385,1,0.0102928441046634,0
COL,COL,17.0,4.0,2.242603550295858,15.343342806457203,0.007034632,0.007034632,3,0.007704852099506199,0
BOL,BOL,26.0,4.0,2.088757396449704,75.9703652886952,0.010281385,0.010281385,3,0.010516277686507874,0
ARG,ARG,42.0,4.0,2.076923076923077,47.88501042038314,0.0097402595,0.0097402595,3,0.009501777571300184,0
SEN,SEN,19.0,4.0,2.1775147928994083,56.09926000683388,0.0048701297,0.0048701297,3,0.00534331354130484,0
MAR,MAR,30.0,4.0,2.4023668639053253,170.12012465805037,0.0043290043,0.0043290043,1,0.004689863470082313,0
TWN,TWN,33.0,4.0,2.2071005917159763,43.57669778305578,0.0043290043,0.0043290043,3,0.004989627038546819,0
SGP,SGP,14.0,4.0,2.1538461538461537,56.26209686019333,0.0054112556,0.0054112556,3,0.005570319275078448,0
NAM,NAM,3.0,4.0,2.2840236686390534,0.0,0.0,0.0,0,0.0,0
ECU,ECU,8.0,4.0,2.260355029585799,2.25501789146526,0.003787879,0.003787879,3,0.00421101694264365,0
JOR,JOR,47.0,4.0,2.242603550295858,2.1017273196152506,0.0054112556,0.0054112556,4,0.005558639998770464,0
WSM,WSM,3.0,4.0,2.396449704142012,0.0,0.0,0.0,0,0.0,0
QAT,QAT,47.0,4.0,2.165680473372781,26.036592559848263,0.008658009,0.008658009,0,0.00875202622578594,0
GMB,GMB,2.0,5.0,2.5502958579881656,0.3590248831628142,0.0,0.0,0,0.0,0
JAM,JAM,12.0,4.0,2.242603550295858,0.0,0.0032467532,0.0032467532,3,0.0036556121245388614,0
MMR,MMR,16.0,4.0,2.201183431952663,0.7301587301587302,0.0048701297,0.0048701297,3,0.005109136470880188,0
GAB,GAB,1.0,4.0,2.6568047337278107,0.0,0.0,0.0,0,0.0,0
BHR,BHR,15.0,4.0,2.337278106508876,2.916791979949874,0.0043290043,0.0043290043,0,0.004790561071221182,0
DZA,DZA,16.0,4.0,2.1538461538461537,26.602730602226153,0.005952381,0.005952381,1,0.0062642867930125315,0
OMN,OMN,2.0,5.0,2.923076923076923,0.0,0.0,0.0,0,0.0,0
BRB,BRB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ZWE,ZWE,10.0,4.0,2.2781065088757395,0.0,0.0,0.0,0,0.0,0
FIN,FIN,12.0,4.0,2.1538461538461537,2.6646201468782102,0.0054112556,0.0054112556,1,0.00564078808052714,0
ARE,ARE,26.0,4.0,2.331360946745562,3.379773004773005,0.0054112556,0.0054112556,0,0.005781243936470032,0
LKA,LKA,23.0,4.0,2.230769230769231,0.8232142857142857,0.003787879,0.003787879,3,0.004181328690882345,0
TZA,TZA,3.0,4.0,2.473372781065089,1.0608141371299264,0.0,0.0,0,0.0,0
BIH,BIH,13.0,4.0,2.408284023668639,11.972704447459169,0.0043290043,0.0043290043,1,0.004909133907797195,0
NZL,NZL,30.0,4.0,2.165680473372781,6.412009127160989,0.0064935065,0.0064935065,1,0.006649439431464522,0
GTM,GTM,4.0,4.0,2.3846153846153846,0.0,0.0,0.0,0,0.0,0
HKG,HKG,18.0,4.0,2.2366863905325443,8.416089601920596,0.0043290043,0.0043290043,3,0.004809583197616397,0
LAO,LAO,4.0,5.0,2.603550295857988,0.0,0.0,0.0,0,0.0,0
NPL,NPL,18.0,4.0,2.272189349112426,2.5597323875786873,0.0043290043,0.0043290043,3,0.004729991972503836,0
FJI,FJI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SVN,SVN,1.0,5.0,2.7633136094674557,0.0,0.0,0.0,0,0.0,0
NRU,NRU,4.0,5.0,2.798816568047337,0.0,0.0,0.0,0,0.0,0
KAZ,KAZ,17.0,4.0,2.1775147928994083,9.811969807922894,0.0043290043,0.0043290043,1,0.004592198256923188,0
MHL,MHL,3.0,5.0,3.06508875739645,0.0,0.0,0.0,0,0.0,0
ESH,ESH,2.0,5.0,3.396449704142012,0.0,0.0,0.0,0,0.0,0
CYP,CYP,11.0,4.0,2.195266272189349,4.078409796706337,0.0054112556,0.0054112556,4,0.005557617508752015,0
"CXR ","CXR ",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
NIC,NIC,7.0,4.0,2.3550295857988166,123.06907470150557,0.0027056278,0.0027056278,3,0.0037751994685743286,0
BDI,BDI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
KWT,KWT,15.0,4.0,2.136094674556213,13.100435297374405,0.0064935065,0.0064935065,4,0.006706578944228236,0
AUT,AUT,22.0,4.0,2.242603550295858,36.06768409888684,0.0043290043,0.0043290043,2,0.004556939344981908,0
HTI,HTI,12.0,4.0,2.331360946745562,15.688723204899677,0.0021645022,0.0021645022,3,0.002818213142517929,0
DMA,DMA,1.0,5.0,2.6272189349112427,0.0,0.0,0.0,0,0.0,0
ALB,ALB,3.0,4.0,2.3491124260355027,0.0,0.0,0.0,0,0.0,0
LVA,LVA,4.0,4.0,2.301775147928994,0.0,0.0,0.0,0,0.0,0
MNE,MNE,2.0,5.0,2.923076923076923,0.0,0.0,0.0,0,0.0,0
HND,HND,5.0,4.0,2.337278106508876,11.165873713278078,0.0,0.0,0,0.0,0
PRY,PRY,3.0,5.0,2.8757396449704142,0.18333333333333332,0.0,0.0,0,0.0,0
MRT,MRT,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BTN,BTN,1.0,4.0,2.8461538461538463,0.0,0.0,0.0,0,0.0,0
SWE,SWE,21.0,4.0,2.1538461538461537,7.075419150039643,0.0064935065,0.0064935065,3,0.006514142181657484,0
AZE,AZE,2.0,5.0,2.905325443786982,0.0,0.0,0.0,0,0.0,0
LTU,LTU,8.0,4.0,2.2544378698224854,2.0284153185681197,0.003787879,0.003787879,2,0.004186459823596656,0
SVK,SVK,1.0,5.0,3.035502958579882,0.0,0.0,0.0,0,0.0,0
LCA,LCA,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
GHA,GHA,2.0,5.0,2.7928994082840237,0.0,0.0,0.0,0,0.0,0
GUY,GUY,2.0,4.0,2.396449704142012,0.0,0.0,0.0,0,0.0,0
ROU,ROU,33.0,4.0,2.106508875739645,10.803402282579517,0.005952381,0.005952381,1,0.0060683288541731285,0
TLS,TLS,12.0,5.0,2.5680473372781063,0.9381598793363499,0.0,0.0,0,0.0,0
SRB,SRB,14.0,5.0,2.7041420118343193,13.115978410012021,0.0032467532,0.0032467532,1,0.004220224535275851,0
HRV,HRV,8.0,4.0,2.6449704142011834,13.641478690134674,0.0027056278,0.0027056278,1,0.0034951851223687536,0
PER,PER,17.0,4.0,2.2366863905325443,3.26875298614429,0.0054112556,0.0054112556,3,0.005731140774204198,0
LBR,LBR,1.0,5.0,2.893491124260355,0.0,0.0,0.0,0,0.0,0
MDA,MDA,12.0,4.0,2.301775147928994,0.0,0.0,0.0,0,0.0,0
XK,XK,5.0,4.0,2.6094674556213016,7.703195848433453,0.0,0.0,0,0.0,0
TON,TON,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
CIV,CIV,1.0,4.0,2.6568047337278107,0.0,0.0,0.0,0,0.0,0
ZMB,ZMB,1.0,5.0,2.6272189349112427,0.0,0.0,0.0,0,0.0,0
MDG,MDG,1.0,4.0,2.6568047337278107,0.0,0.0,0.0,0,0.0,0
DOM,DOM,5.0,4.0,2.3550295857988166,2.2102564102564104,0.0,0.0,0,0.0,0
