Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID
SAU,SAU,27,80.0,3.0,1.7758620689655173,45.64005321896008,0.011970928,0.011970928,2,0.011682400246552186,0
GBR,GBR,81,650.0,2.0,1.3017241379310345,662.6593763397823,0.035057716,0.035057716,2,0.03336987285820785,0
DEU,DEU,52,386.0,2.0,1.5517241379310345,197.88523359744997,0.022659255,0.022659255,1,0.02129314434280526,0
ZAF,ZAF,15,37.0,3.0,1.896551724137931,7.122794446932378,0.0068405303,0.0068405303,2,0.0069305156095595555,0
CHN,CHN,71,860.0,2.0,1.3879310344827587,474.7357626327618,0.030782385,0.030782385,2,0.0294309844268927,0
LBY,LBY,19,100.0,3.0,1.853448275862069,25.753253856098116,0.008550663,0.008550663,0,0.00874641814726763,0
NGA,NGA,41,95.0,2.0,1.646551724137931,115.01704921199936,0.017956391,0.017956391,2,0.01709598962011651,0
MYS,MYS,25,249.0,3.0,1.8017241379310345,31.521370618405474,0.011115861,0.011115861,2,0.011069752964964132,0
UKR,UKR,48,2553.0,2.0,1.5862068965517242,169.17435978210827,0.020949123,0.020949123,1,0.02006980689663395,0
RUS,RUS,58,2668.0,2.0,1.5,278.5165084818858,0.025224455,0.025224455,1,0.024122153343198734,0
USA,USA,104,2662.0,2.0,1.103448275862069,1564.7760182221182,0.044890977,0.044890977,1,0.043636434900398,0
NOR,NOR,14,27.0,3.0,1.896551724137931,15.1263367288675,0.006412997,0.006412997,2,0.0067000349204843915,0
TUN,TUN,11,37.0,3.0,1.9224137931034482,1.5213293650793651,0.0051303976,0.0051303976,0,0.005306717552351996,0
ISL,ISL,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
PAK,PAK,13,66.0,3.0,1.9137931034482758,1.166665279165279,0.005985464,0.005985464,2,0.005929850529088485,0
BRA,BRA,27,57.0,2.0,1.7672413793103448,51.38954692534178,0.011970928,0.011970928,0,0.011679406989747771,0
SLE,SLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
EGY,EGY,33,130.0,2.0,1.7155172413793103,48.94687874033391,0.0145361265,0.0145361265,0,0.013638508833375569,0
AUS,AUS,50,261.0,2.0,1.5689655172413792,168.62533143221248,0.02180419,0.02180419,2,0.020540883341053414,0
CMR,CMR,7,16.0,3.0,1.9741379310344827,0.46666666666666673,0.0034202652,0.0034202652,2,0.003838741141038449,0
VEN,VEN,30,117.0,2.0,1.7413793103448276,59.36669929004255,0.013253527,0.013253527,0,0.012864553875666233,0
THA,THA,15,37.0,3.0,1.8879310344827587,5.281150769152799,0.0068405303,0.0068405303,2,0.00683321701454476,0
HUN,HUN,8,20.0,3.0,1.9396551724137931,7.490873301898832,0.003847798,0.003847798,2,0.004420257865439292,0
KHM,KHM,9,22.0,3.0,2.0172413793103448,3.509253344721978,0.0042753313,0.0042753313,2,0.004707879752200754,0
IND,IND,38,249.0,2.0,1.6724137931034482,83.27980905816952,0.016673792,0.016673792,2,0.015881347090450627,0
IDN,IDN,22,75.0,2.0,1.8103448275862069,19.564869796033737,0.009833262,0.009833262,2,0.009606040339009775,0
UGA,UGA,16,52.0,2.0,1.8620689655172413,8.63735982773339,0.0072680633,0.0072680633,2,0.007302047153547651,0
MDV,MDV,10,16.0,3.0,1.9310344827586208,2.532271405065522,0.0047028647,0.0047028647,2,0.0050212425257413025,0
VAT,VAT,38,194.0,2.0,1.6724137931034482,112.17129785711839,0.016673792,0.016673792,0,0.01575710054754749,0
SOM,SOM,13,39.0,3.0,1.896551724137931,3.3533851525230833,0.005985464,0.005985464,2,0.006026359094293335,0
GRC,GRC,16,40.0,2.0,1.8620689655172413,11.844258640464385,0.0072680633,0.0072680633,0,0.007426102908053102,0
MAR,MAR,9,33.0,3.0,1.9741379310344827,1.6737394957983192,0.0042753313,0.0042753313,0,0.004614040366815649,0
SYR,SYR,48,631.0,2.0,1.5862068965517242,159.74068401548064,0.020949123,0.020949123,0,0.019735470000053112,0
IRQ,IRQ,15,74.0,3.0,1.896551724137931,8.636060616791918,0.0068405303,0.0068405303,0,0.006920225979575642,0
FRA,FRA,70,616.0,2.0,1.396551724137931,519.4028678458586,0.030354852,0.030354852,0,0.029185603713383253,0
CHL,CHL,29,98.0,2.0,1.75,60.804685361935704,0.012825994,0.012825994,0,0.012547000363700532,0
ITA,ITA,40,158.0,2.0,1.6551724137931034,99.20591060916524,0.017528858,0.017528858,0,0.016666891426716755,0
PRK,PRK,13,159.0,2.0,1.8879310344827587,4.635845937108626,0.005985464,0.005985464,2,0.0060551263844388515,0
JPN,JPN,27,286.0,2.0,1.7672413793103448,22.551209749514854,0.011970928,0.011970928,2,0.011260912569832901,0
ARG,ARG,24,74.0,2.0,1.793103448275862,25.10497151681551,0.010688328,0.010688328,0,0.010255192081120601,0
COL,COL,15,31.0,3.0,1.8879310344827587,7.359156880371008,0.0068405303,0.0068405303,0,0.007006849817993615,0
SEN,SEN,9,19.0,3.0,1.9827586206896552,2.5913690697639664,0.0042753313,0.0042753313,0,0.0046606634419441096,0
PSE,PSE,20,360.0,2.0,1.8275862068965518,7.888753273157298,0.0089781955,0.0089781955,0,0.008528583692315142,0
CHE,CHE,29,241.0,2.0,1.75,51.46606275567283,0.012825994,0.012825994,0,0.012255081598803874,0
BEL,BEL,33,113.0,2.0,1.7155172413793103,61.24515396754117,0.0145361265,0.0145361265,2,0.01383824213695171,0
AFG,AFG,23,157.0,3.0,1.8103448275862069,29.311159193293655,0.010260795,0.010260795,1,0.010108848401290742,0
PHL,PHL,16,86.0,2.0,1.8620689655172413,7.243451504583821,0.0072680633,0.0072680633,2,0.007281490995199913,0
TUR,TUR,26,103.0,2.0,1.7758620689655173,32.36251702250045,0.011543395,0.011543395,0,0.01108512697764929,0
KOR,KOR,15,116.0,2.0,1.8706896551724137,7.279802652782935,0.0068405303,0.0068405303,2,0.006848824970243162,0
ESP,ESP,34,103.0,2.0,1.706896551724138,54.55053559170176,0.014963659,0.014963659,0,0.014000877353763815,0
CUB,CUB,20,87.0,3.0,1.8362068965517242,22.598587333981985,0.0089781955,0.0089781955,0,0.008918574407681498,0
DZA,DZA,12,28.0,3.0,1.9137931034482758,5.10866592869411,0.0055579306,0.0055579306,0,0.005765982539437423,0
MEX,MEX,21,97.0,3.0,1.8275862068965518,26.75685578418588,0.009405729,0.009405729,1,0.00929834526764777,0
URY,URY,8,17.0,3.0,1.9827586206896552,0.5071178821178821,0.003847798,0.003847798,0,0.004225587301329315,0
ISR,ISR,32,459.0,2.0,1.7241379310344827,31.341487360523605,0.014108594,0.014108594,0,0.013022768214764844,0
VIR,VIR,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SDN,SDN,18,285.0,3.0,1.8793103448275863,12.270176069570196,0.00812313,0.00812313,3,0.008211825289917148,0
SSD,SSD,12,267.0,3.0,1.9310344827586208,3.9740600926352525,0.0055579306,0.0055579306,3,0.005867271995379188,0
IRN,IRN,36,348.0,2.0,1.6896551724137931,59.47739795825357,0.015818726,0.015818726,0,0.014742437090853941,0
DNK,DNK,11,30.0,3.0,1.9137931034482758,2.059327585319377,0.0051303976,0.0051303976,2,0.005301331582522104,0
ETH,ETH,12,53.0,3.0,1.9224137931034482,3.4073491122404165,0.0055579306,0.0055579306,3,0.00574574528593518,0
CAF,CAF,17,49.0,2.0,1.853448275862069,12.279106005561303,0.007695596,0.007695596,0,0.007812491618086366,0
CAN,CAN,41,152.0,2.0,1.646551724137931,98.60008352684028,0.017956391,0.017956391,2,0.01710307039940324,0
VNM,VNM,4,14.0,3.0,1.9913793103448276,0.0,0.0021376656,0.0021376656,2,0.002722353157187167,0
NLD,NLD,23,61.0,2.0,1.8017241379310345,17.41761924414255,0.010260795,0.010260795,0,0.009776076355328435,0
NER,NER,5,11.0,3.0,2.0,0.1111111111111111,0.0025651988,0.0025651988,0,0.003094548372136377,0
LBN,LBN,15,104.0,3.0,1.8793103448275863,4.887256305835522,0.0068405303,0.0068405303,0,0.00676099239550934,0
PAN,PAN,11,19.0,3.0,1.9655172413793103,3.2726374502690287,0.0051303976,0.0051303976,0,0.0054474321493337575,0
LKA,LKA,7,32.0,3.0,1.9827586206896552,0.2361111111111111,0.0034202652,0.0034202652,2,0.0038028137301681212,0
BOL,BOL,28,71.0,2.0,1.7586206896551724,51.98632632650471,0.012398461,0.012398461,0,0.012045141309120787,0
KEN,KEN,11,37.0,3.0,1.9310344827586208,3.57000962000962,0.0051303976,0.0051303976,2,0.005475849845225163,0
YEM,YEM,12,38.0,3.0,1.9051724137931034,3.534487707281824,0.0055579306,0.0055579306,2,0.005680555034738352,0
IRL,IRL,10,31.0,3.0,1.9224137931034482,1.0035871535871534,0.0047028647,0.0047028647,2,0.004897657786632824,0
HTI,HTI,6,19.0,3.0,2.0086206896551726,1.0180555555555555,0.002992732,0.002992732,0,0.003593443725758828,0
ARE,ARE,14,37.0,3.0,1.9310344827586208,6.227815924011577,0.006412997,0.006412997,2,0.006539964507820116,0
GIN,GIN,9,13.0,3.0,1.9482758620689655,3.8624808587705464,0.0042753313,0.0042753313,0,0.004736902707017665,0
SGP,SGP,10,16.0,3.0,1.9396551724137931,1.7384035746894844,0.0047028647,0.0047028647,2,0.004946880273864046,0
MDA,MDA,8,22.0,3.0,1.9482758620689655,0.3333333333333333,0.003847798,0.003847798,1,0.0043342047075431815,0
AZE,AZE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ECU,ECU,12,25.0,3.0,1.9051724137931034,3.8234909676666637,0.0055579306,0.0055579306,0,0.005811006155646981,0
PER,PER,11,22.0,3.0,1.9224137931034482,1.2335104670843209,0.0051303976,0.0051303976,0,0.0053254635376551035,0
JAM,JAM,5,14.0,3.0,1.9913793103448276,0.0,0.0025651988,0.0025651988,2,0.003049988178364422,0
CZE,CZE,13,43.0,3.0,1.9137931034482758,8.48194414457156,0.005985464,0.005985464,0,0.006239369414493643,0
MMR,MMR,8,24.0,3.0,1.9655172413793103,0.0,0.003847798,0.003847798,2,0.004180956903348114,0
GAB,GAB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BGD,BGD,8,11.0,3.0,1.9482758620689655,0.7751433899789956,0.003847798,0.003847798,2,0.004175937671617988,0
OMN,OMN,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
COG,COG,9,21.0,3.0,1.956896551724138,3.071436659347473,0.0042753313,0.0042753313,2,0.004845500603858329,0
COD,COD,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
PRT,PRT,10,13.0,3.0,1.956896551724138,2.067867317867318,0.0047028647,0.0047028647,2,0.004923906070390453,0
NZL,NZL,14,40.0,3.0,1.896551724137931,6.187928162616141,0.006412997,0.006412997,2,0.006511332303033281,0
BGR,BGR,10,21.0,3.0,1.9655172413793103,1.794105894105894,0.0047028647,0.0047028647,1,0.004963719849683634,0
ROU,ROU,13,38.0,3.0,1.896551724137931,3.601799489397243,0.005985464,0.005985464,1,0.006167268699327643,0
RWA,RWA,17,76.0,2.0,1.853448275862069,18.102409371550273,0.007695596,0.007695596,0,0.0079759811121169,0
POL,POL,22,81.0,2.0,1.8103448275862069,34.23862783720176,0.009833262,0.009833262,1,0.00991848790675231,0
GTM,GTM,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
HKG,HKG,7,25.0,3.0,1.9655172413793103,0.3571428571428571,0.0034202652,0.0034202652,2,0.003907164905771223,0
QAT,QAT,15,49.0,3.0,1.8879310344827587,9.418567059041411,0.0068405303,0.0068405303,2,0.007021001966724936,0
CIV,CIV,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LAO,LAO,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SLV,SLV,11,20.0,3.0,2.336206896551724,8.052884101921972,0.0051303976,0.0051303976,0,0.005699699994434062,0
TCD,TCD,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ESH,ESH,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
FIN,FIN,10,14.0,3.0,1.9310344827586208,1.45515873015873,0.0047028647,0.0047028647,1,0.004960418263290923,0
NRU,NRU,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BDI,BDI,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
KWT,KWT,11,16.0,3.0,1.9224137931034482,4.161925622533664,0.0051303976,0.0051303976,0,0.0054353820287038465,0
AUT,AUT,10,27.0,3.0,1.9224137931034482,0.6776116856999209,0.0047028647,0.0047028647,0,0.004839586043872239,0
GRL,GRL,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
