Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality,Authority,Hub
USA,USA,89,891.0,2.0,1.15,981.9037656982052,2,0.0609953169415425,0,0.16769095697980685,382,1.0,0.06188341,0.06188341
JPN,JPN,15,68.0,2.0,1.8125,13.39932168276869,2,0.013890620960943244,0,0.5142857142857142,54,0.35309689390140764,0.014349775,0.014349775
CHN,CHN,56,511.0,2.0,1.4875,253.240017036326,2,0.036457383662613516,0,0.27195121951219514,223,0.7312369076809321,0.03766816,0.03766816
MEX,MEX,14,31.0,3.0,1.875,8.286796930692926,2,0.012087735556384305,0,0.5512820512820513,43,0.29979655058037324,0.012556054,0.012556054
RUS,RUS,37,977.0,2.0,1.6625,109.46633437361295,0,0.024607145670158866,0,0.3418803418803419,120,0.5245902052449875,0.025112107,0.025112107
UKR,UKR,39,876.0,2.0,1.6125,87.30526441188437,0,0.027088493909940357,0,0.37849462365591396,176,0.64203385932609,0.02869955,0.02869955
LBY,LBY,13,36.0,3.0,1.9,13.065479775876126,2,0.011632186939629943,0,0.48484848484848486,32,0.28331331565548495,0.011659193,0.011659193
AFG,AFG,12,115.0,3.0,1.925,4.004558969075098,2,0.010457654480887032,0,0.6363636363636364,35,0.2981287202689313,0.010762332,0.010762332
NER,NER,7,8.0,3.0,1.95,2.2417294721754533,2,0.007707792163019684,0,0.8095238095238095,17,0.17343999923167916,0.0071748877,0.0071748877
KOR,KOR,6,28.0,3.0,1.95,0.7000000000000001,2,0.00657823655264759,0,0.8666666666666667,13,0.17528302547950156,0.006278027,0.006278027
VEN,VEN,21,60.0,2.0,1.75,40.18742276872351,2,0.017867345814411913,0,0.43157894736842106,82,0.4112313247752511,0.01883408,0.01883408
CAF,CAF,4,24.0,4.0,2.3245033112582782,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
SDN,SDN,14,117.0,3.0,1.8875,10.386596573361278,1,0.011753683471020942,0,0.5,33,0.28762456497993333,0.011659193,0.011659193
IRN,IRN,25,71.0,2.0,1.7125,24.81120453467912,2,0.019845006417340147,0,0.5019762845849802,127,0.5453089165121242,0.021524664,0.021524664
YEM,YEM,6,33.0,3.0,2.0125,0.45562678062678064,0,0.0057277976158916334,0,0.8,8,0.1519655264722001,0.005381166,0.005381166
NGA,NGA,33,180.0,2.0,1.625,131.43754608048758,2,0.026873714061709516,0,0.30114942528735633,131,0.5616070210040102,0.02780269,0.02780269
IRL,IRL,7,12.0,3.0,2.0125,1.6849261849261847,2,0.0067944897263138475,0,0.5333333333333333,8,0.143211326608633,0.006278027,0.006278027
SYR,SYR,36,200.0,2.0,1.5875,122.21152169048315,3,0.028955792988303943,0,0.3125,165,0.6281170898782189,0.030493274,0.030493274
SSD,SSD,5,100.0,3.0,2.0625,0.25882352941176473,1,0.005189204117024732,0,0.8333333333333334,5,0.09328764725281609,0.004484305,0.004484305
DEU,DEU,23,180.0,2.0,1.725,36.37032335999054,0,0.019246648327993436,0,0.49783549783549785,115,0.5205971551025366,0.020627802,0.020627802
NOR,NOR,8,14.0,3.0,1.925,5.348336779801239,2,0.00818807896385932,0,0.7142857142857143,20,0.21860411570318453,0.008071749,0.008071749
ITA,ITA,16,38.0,3.0,1.8125,16.235003080013495,3,0.01468402753743694,0,0.48333333333333334,58,0.3651974746140527,0.015246637,0.015246637
IND,IND,19,107.0,3.0,1.8,26.441935838869227,2,0.015792895087559603,0,0.45588235294117646,62,0.35796952293029854,0.016143497,0.016143497
LTU,LTU,2,3.0,4.0,2.728476821192053,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
PAK,PAK,12,68.0,3.0,1.8875,22.386079358748038,2,0.01169985228697802,0,0.5,33,0.2786732447721615,0.011659193,0.011659193
MLI,MLI,4,12.0,4.0,2.7086092715231787,198.20375180375186,0,0.0,0,0.0,0,0.0,0.0,0.0
THA,THA,10,33.0,3.0,1.9625,1.8706962591724254,2,0.008228914426441735,0,0.6071428571428571,17,0.20154490508647355,0.008071749,0.008071749
BRA,BRA,16,20.0,2.0,1.8375,30.50458728363501,2,0.012637668292472997,0,0.4358974358974359,34,0.2938040115401123,0.012556054,0.012556054
