Id,Label,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Degree,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
JPN,JPN,74.0,5.0,2.1476510067114094,209.5302771674133,13,0.010989011,0.010989011,0,0.01098644148307995,0,0.5454545454545454,30,0.29250266765622507
IND,IND,118.0,5.0,2.0,447.01803770678185,23,0.01923077,0.01923077,0,0.01895986817443018,0,0.4,76,0.4469192107724262
RUS,RUS,290.0,4.0,1.9798657718120805,724.0778503526658,27,0.021062272,0.021062272,3,0.020983572060225872,0,0.3593073593073593,83,0.49465048703521497
HKG,HKG,10.0,5.0,2.523489932885906,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0.0
MEX,MEX,47.0,5.0,2.228187919463087,41.008434939570854,11,0.010989011,0.010989011,0,0.011140538312252557,0,0.509090909090909,28,0.2792558041579494
USA,USA,753.0,4.0,1.563758389261745,3250.8630716708367,79,0.054029305,0.054029305,0,0.05265960140270949,0,0.191167574107683,316,1.0
IRQ,IRQ,91.0,5.0,2.1543624161073827,36.01374197015278,17,0.016483517,0.016483517,1,0.015684937967417472,0,0.5073529411764706,69,0.4268998613388347
PSE,PSE,166.0,5.0,2.140939597315436,44.14830522914223,18,0.017399268,0.017399268,1,0.01658676130947242,0,0.49673202614379086,76,0.44497443590275004
FRA,FRA,583.0,4.0,1.6979865771812082,1390.098811619551,58,0.0485348,0.0485348,1,0.04623911939767764,0,0.22850678733031674,303,0.9609955485767895
NGA,NGA,35.0,5.0,2.174496644295302,291.54922899624745,14,0.010989011,0.010989011,1,0.0108952878526446,0,0.4727272727272727,26,0.2846553832334813
IDN,IDN,33.0,5.0,2.248322147651007,170.65858556771636,11,0.008241759,0.008241759,2,0.008594831294324253,0,0.5714285714285714,16,0.20463460585542753
SYR,SYR,242.0,4.0,1.9731543624161074,250.7667768507958,29,0.026556777,0.026556777,1,0.025285992854643894,0,0.373015873015873,141,0.6120718283170032
