Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
BDI,BDI,4,7.0,4.0,2.348101265822785,10.756290913025852,0.0,0.0,0,0.0,0,0.0,0,0.0
IRN,IRN,40,642.0,3.0,1.8481012658227849,355.8124553908712,0.02681722,0.02681722,0,0.025213890551949097,0,0.3483483483483483,232,0.6579778512113059
CHN,CHN,63,454.0,4.0,1.6708860759493671,1920.3911689940142,0.035285816,0.035285816,1,0.03410013759600244,0,0.25510204081632654,300,0.7478404395023809
JPN,JPN,16,160.0,3.0,2.0759493670886076,54.8911584424672,0.011291461,0.011291461,1,0.011454254643158381,0,0.42857142857142855,45,0.27220766616114367
USA,USA,93,1247.0,3.0,1.4430379746835442,3634.0727115139907,0.05151729,0.05151729,0,0.05010084554717669,0,0.19874804381846636,508,1.0
DNK,DNK,4,4.0,4.0,2.4367088607594938,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
YEM,YEM,35,443.0,3.0,1.9050632911392404,367.00670267372965,0.023288637,0.023288637,6,0.02258715843013973,0,0.3326612903225806,165,0.5473402351215735
KOR,KOR,14,62.0,4.0,2.1455696202531644,36.94206547419189,0.010585745,0.010585745,1,0.010756029684904642,0,0.42857142857142855,39,0.25567055095934027
IDN,IDN,17,146.0,4.0,2.0632911392405062,36.526922831204516,0.011997177,0.011997177,1,0.011642129604961604,0,0.5416666666666666,65,0.3295897369809338
GRC,GRC,17,93.0,4.0,2.0759493670886076,270.2583562154531,0.010585745,0.010585745,3,0.010469288546192909,0,0.5494505494505495,50,0.29172356533867755
LBY,LBY,18,99.0,4.0,2.1202531645569622,110.9819195843419,0.011997177,0.011997177,4,0.012012853332500833,0,0.425,51,0.29750932614435
IRQ,IRQ,21,122.0,4.0,2.0443037974683542,93.74217614152487,0.014820042,0.014820042,2,0.014657505408056938,0,0.41578947368421054,79,0.3709462337594504
BRA,BRA,21,50.0,4.0,2.069620253164557,52.05775029174903,0.015525758,0.015525758,1,0.014931568978767415,0,0.41904761904761906,88,0.37773278029914853
GBR,GBR,53,235.0,3.0,1.7088607594936709,1265.2059136672322,0.033168666,0.033168666,5,0.03133002903737159,0,0.3004830917874396,311,0.7652157235739332
CHL,CHL,21,68.0,4.0,2.050632911392405,70.18167938013508,0.015525758,0.015525758,5,0.015070564081229153,0,0.41904761904761906,88,0.3846112841159457
TWN,TWN,4,22.0,4.0,2.2658227848101267,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
KEN,KEN,15,89.0,4.0,2.1265822784810124,68.98312986872634,0.010585745,0.010585745,4,0.011129476801138925,0,0.3626373626373626,33,0.24853001965250596
ESP,ESP,33,110.0,4.0,1.9556962025316456,364.20201028765547,0.020465773,0.020465773,0,0.01946676497026227,0,0.3835978835978836,145,0.5080561995515804
SOM,SOM,6,54.0,4.0,2.569620253164557,6.1017704517704505,0.0042342977,0.0042342977,4,0.004763865685920965,0,0.6,6,0.09812100373830991
ETH,ETH,5,30.0,4.0,2.3227848101265822,1.3800776489592284,0.0042342977,0.0042342977,4,0.004793039328380175,0,0.6,6,0.10813870576745789
RUS,RUS,44,484.0,3.0,1.7911392405063291,754.6494443363947,0.027522936,0.027522936,3,0.025969910189266778,0,0.3442389758179232,242,0.6577832467759847
VEN,VEN,18,111.0,4.0,2.088607594936709,84.79250969246671,0.0127028935,0.0127028935,0,0.012249843214263166,0,0.5661764705882353,77,0.346466377999123
UKR,UKR,23,187.0,4.0,2.018987341772152,500.24942616052726,0.014820042,0.014820042,3,0.014367242784365592,0,0.4473684210526316,85,0.3829474508771624
CUB,CUB,24,376.0,4.0,1.981012658227848,197.87454243696166,0.016231475,0.016231475,0,0.016052756043229564,0,0.42424242424242425,98,0.4045306852565078
TUR,TUR,29,240.0,3.0,1.9177215189873418,180.05013545724418,0.020465773,0.020465773,4,0.019593433919592076,0,0.41534391534391535,157,0.5283382190020278
NPL,NPL,29,205.0,4.0,1.9430379746835442,232.9299926168061,0.019760057,0.019760057,5,0.018842032261253912,0,0.358974358974359,126,0.4806533227485609
VAT,VAT,29,267.0,4.0,2.0126582278481013,329.349766472835,0.019760057,0.019760057,4,0.019508271128504978,0,0.3475783475783476,122,0.4714742788325219
PAN,PAN,8,81.0,4.0,2.3417721518987342,9.204018537586311,0.0049400143,0.0049400143,0,0.005377860563995321,0,0.8666666666666667,13,0.12121154183827655
MEX,MEX,13,48.0,4.0,2.1265822784810124,26.210743408261017,0.0091743115,0.0091743115,0,0.00907604779840357,0,0.5151515151515151,34,0.26178752930446675
PSE,PSE,10,122.0,4.0,2.2025316455696204,8.685222707083824,0.007762879,0.007762879,2,0.008032951499742038,0,0.6222222222222222,28,0.22556843703583826
SGP,SGP,8,11.0,4.0,2.2025316455696204,0.88481724595855,0.0063514467,0.0063514467,5,0.006583976174453025,0,0.8571428571428571,24,0.19795981863373002
PAK,PAK,18,205.0,4.0,2.088607594936709,32.587493305953025,0.0127028935,0.0127028935,6,0.01222813560957061,0,0.5735294117647058,78,0.3686843133838553
SAU,SAU,23,311.0,4.0,2.0063291139240507,125.98780910826994,0.016231475,0.016231475,6,0.015510740765795096,0,0.5064935064935064,117,0.44959607726029965
CYP,CYP,6,25.0,4.0,2.588607594936709,1.5964435564435564,0.0049400143,0.0049400143,4,0.005455275456646329,0,0.6,9,0.10482851784425391
NGA,NGA,16,50.0,4.0,2.0759493670886076,164.29802135919363,0.011291461,0.011291461,1,0.011394745086444244,0,0.44761904761904764,47,0.30121658076145924
GEO,GEO,2,2.0,5.0,3.0,157.0,0.0,0.0,0,0.0,0,0.0,0,0.0
MLI,MLI,5,41.0,4.0,2.651898734177215,16.673563011063017,0.0035285815,0.0035285815,5,0.0045128018815672475,0,0.3333333333333333,2,0.05621985532623337
BLR,BLR,7,15.0,4.0,2.170886075949367,2.7702135778473376,0.0056457305,0.0056457305,3,0.005860157643685319,0,0.8095238095238095,17,0.19422690302703363
ISR,ISR,25,287.0,4.0,1.9936708860759493,265.60084264176413,0.016231475,0.016231475,2,0.01590306717116428,0,0.4199134199134199,97,0.4068090394690446
FRA,FRA,55,291.0,3.0,1.7088607594936709,1145.6279764316123,0.035285816,0.035285816,5,0.033794761330273926,0,0.26445578231292516,311,0.7689979560565773
SYR,SYR,38,215.0,4.0,1.8924050632911393,387.36094392513405,0.026111504,0.026111504,2,0.025131653635586164,0,0.3,189,0.5797688602636686
COL,COL,12,34.0,4.0,2.1835443037974684,10.958205704373418,0.0091743115,0.0091743115,0,0.009230203040257848,0,0.6060606060606061,40,0.23131725923328655
ARG,ARG,18,77.0,4.0,2.037974683544304,223.95127624158087,0.011997177,0.011997177,5,0.01138967291006691,0,0.65,78,0.37503200544445475
ARM,ARM,17,182.0,3.0,2.0443037974683542,53.425901278256326,0.011997177,0.011997177,4,0.011537596605266251,0,0.6083333333333333,73,0.34950257825365366
PER,PER,6,7.0,4.0,2.481012658227848,2.935556912659505,0.0049400143,0.0049400143,5,0.005433946564698915,0,0.3333333333333333,5,0.10655567142512229
DEU,DEU,35,173.0,4.0,1.8924050632911393,434.13246496549016,0.022582922,0.022582922,3,0.021446678561129806,0,0.3827956989247312,178,0.5640934186086588
BHR,BHR,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
MHL,MHL,2,5.0,4.0,2.392405063291139,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
ZAF,ZAF,6,20.0,4.0,2.3164556962025316,174.3064320864321,0.0035285815,0.0035285815,1,0.004216134087414394,0,0.8333333333333334,5,0.09921179096400543
ZWE,ZWE,2,3.0,5.0,2.6392405063291138,3.0196692196692205,0.0,0.0,0,0.0,0,0.0,0,0.0
ESH,ESH,4,8.0,4.0,2.3417721518987342,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
EGY,EGY,22,55.0,4.0,2.0126582278481013,76.65930707527625,0.016231475,0.016231475,0,0.015465419542467513,0,0.4199134199134199,97,0.4278814683785648
MMR,MMR,4,11.0,4.0,2.3227848101265822,0.4,0.0,0.0,0,0.0,0,0.0,0,0.0
ITA,ITA,24,116.0,4.0,2.018987341772152,169.26380481764352,0.01693719,0.01693719,4,0.016504724954500435,0,0.3557312252964427,90,0.4036699928720572
IND,IND,21,155.0,4.0,2.037974683544304,62.289815876516315,0.014820042,0.014820042,5,0.014105333043571252,0,0.5052631578947369,96,0.4195769871400738
