Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
SAU,SAU,12,19.0,5.0,2.159090909090909,31.324282755403388,0.01141352,0.01141352,0,0.010077183548655031,0,0.4696969696969697,31,0.3081561121175291
GBR,GBR,52,205.0,4.0,1.6666666666666667,1459.3674612073378,0.046532046,0.046532046,0,0.044723610246228424,0,0.14479638009049775,192,0.8191152568382825
DEU,DEU,25,68.0,4.0,1.9318181818181819,465.5713679140738,0.02282704,0.02282704,0,0.022031196260638382,0,0.24333333333333335,73,0.47328163282895575
ZAF,ZAF,9,17.0,5.0,2.227272727272727,60.73404126650016,0.008779631,0.008779631,6,0.008774236733328701,0,0.2777777777777778,10,0.19188108825956365
CHN,CHN,42,163.0,4.0,1.7727272727272727,1131.3117287354635,0.037752416,0.037752416,0,0.03762818013088247,0,0.16144018583042974,139,0.6723610682934568
SDN,SDN,13,165.0,5.0,2.143939393939394,96.30824774714029,0.012291484,0.012291484,5,0.011958094097726872,0,0.3974358974358974,31,0.2665383746676365
TUN,TUN,4,8.0,5.0,2.3863636363636362,0.0,0.0043898155,0.0043898155,1,0.004149969364166721,0,1.0,6,0.13130847062842135
USA,USA,73,521.0,4.0,1.5,3075.186858124246,0.06496927,0.06496927,0,0.0653795847983955,0,0.10426179604261795,274,1.0
ISL,ISL,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0
SYR,SYR,33,270.0,4.0,1.878787878787879,504.3314561978963,0.029850746,0.029850746,2,0.02720684224664069,0,0.2537878787878788,134,0.6243663422648249
BRA,BRA,8,16.0,5.0,2.242424242424242,127.75852007469649,0.007901669,0.007901669,0,0.007932492801761623,0,0.35714285714285715,10,0.18305802795417878
SLE,SLE,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0.0,0,0.0
EGY,EGY,19,55.0,5.0,2.037878787878788,95.95933036149034,0.017559262,0.017559262,1,0.015883269259053874,0,0.40350877192982454,69,0.4469686104984516
ISR,ISR,16,103.0,4.0,2.090909090909091,302.7076821656155,0.014925373,0.014925373,4,0.013796975590188448,0,0.4166666666666667,50,0.3769686313664506
